Month,Prediction,Stat,Value
1,caraib_gswp3,min,0.008832049815515865
2,caraib_gswp3,min,0.0017017851738141989
3,caraib_gswp3,min,4.246769465090584e-4
4,caraib_gswp3,min,1.8921973919188367e-4
5,caraib_gswp3,min,4.5083456559761513e-4
6,caraib_gswp3,min,0.016386990784142075
7,caraib_gswp3,min,0.05193060860685628
8,caraib_gswp3,min,0.16063867899842085
9,caraib_gswp3,min,0.42083020966231216
10,caraib_gswp3,min,0.17964143098332203
11,caraib_gswp3,min,0.16448538822940012
12,caraib_gswp3,min,0.04189068833706861
1,caraib_princeton,min,0.002115306678140207
2,caraib_princeton,min,4.462185281867042e-4
3,caraib_princeton,min,1.6606253556921172e-4
4,caraib_princeton,min,1.8648858851816536e-4
5,caraib_princeton,min,8.131947636511733e-4
6,caraib_princeton,min,0.012421031006525191
7,caraib_princeton,min,0.290195928376893
8,caraib_princeton,min,0.5666205676902895
9,caraib_princeton,min,1.8941207175023662
10,caraib_princeton,min,0.7377992587586388
11,caraib_princeton,min,0.10624617716351059
12,caraib_princeton,min,0.012921104396154766
1,caraib_wfdei,min,0.0033112494223860316
2,caraib_wfdei,min,9.259034714346324e-4
3,caraib_wfdei,min,3.6112926064478686e-4
4,caraib_wfdei,min,1.3821234435156682e-4
5,caraib_wfdei,min,8.031934303969338e-4
6,caraib_wfdei,min,0.015883072430031515
7,caraib_wfdei,min,0.17941062548378145
8,caraib_wfdei,min,0.673559195341058
9,caraib_wfdei,min,0.7227971278794108
10,caraib_wfdei,min,0.43044699973407846
11,caraib_wfdei,min,0.1509449613131713
12,caraib_wfdei,min,0.030896786353270814
1,dbh_gswp3,min,0.7559355497679922
2,dbh_gswp3,min,0.17507070715151124
3,dbh_gswp3,min,0.08480404942210154
4,dbh_gswp3,min,0.12348476031101434
5,dbh_gswp3,min,0.1603412671012856
6,dbh_gswp3,min,0.14686796774174138
7,dbh_gswp3,min,0.27431711727213715
8,dbh_gswp3,min,0.187508032876754
9,dbh_gswp3,min,0.21095910428461867
10,dbh_gswp3,min,0.1378290071460976
11,dbh_gswp3,min,0.13640314986484497
12,dbh_gswp3,min,0.08775580387077135
1,dbh_princeton,min,0.6874005009953243
2,dbh_princeton,min,0.16292955840295165
3,dbh_princeton,min,0.11823599717373506
4,dbh_princeton,min,0.1449982415295541
5,dbh_princeton,min,0.14985452655397827
6,dbh_princeton,min,0.28757139385939007
7,dbh_princeton,min,0.3705304041488006
8,dbh_princeton,min,0.2985636587238729
9,dbh_princeton,min,0.6015267612117157
10,dbh_princeton,min,0.15804451899222108
11,dbh_princeton,min,0.13381988888135074
12,dbh_princeton,min,0.1281440018812853
1,dbh_wfdei,min,0.7551386295423058
2,dbh_wfdei,min,0.1566800225290281
3,dbh_wfdei,min,0.08294710860193424
4,dbh_wfdei,min,0.11807937753768318
